cdr_id,timestamp,caller_phone,receiver_phone,duration_seconds,call_type,tower_id,case_id
C0029,2026-04-17 16:03:00,9855803876,9856217697,363,sms,TWR-014,FIR-0430-2026
C0030,2026-03-09 12:21:00,9856217697,9855631711,475,voice,TWR-040,FIR-0430-2026
C0031,2026-02-09 00:16:00,9855631711,9846134028,816,voice,TWR-036,FIR-0430-2026
C0032,2026-01-24 03:13:00,9890047244,9879591375,454,voice,TWR-040,FIR-0144-2026
C0033,2026-03-22 21:33:00,9879591375,9866012999,224,voice,TWR-015,FIR-0144-2026
C0034,2026-02-01 22:54:00,9876097873,9887061175,790,voice,TWR-038,FIR-0373-2026
C0035,2026-03-10 00:37:00,9883070557,9811118958,153,voice,TWR-025,FIR-0108-2026
C0036,2026-06-24 13:48:00,9864322089,9843913342,769,voice,TWR-011,FIR-0478-2026
C0037,2026-01-24 06:34:00,9843913342,9846956583,156,voice,TWR-001,FIR-0478-2026
C0038,2026-03-25 15:51:00,9857130787,9814177812,362,sms,TWR-023,FIR-0163-2026
C0039,2026-06-21 00:18:00,9814177812,9813263569,599,voice,TWR-037,FIR-0163-2026
C0040,2026-03-24 09:02:00,9813263569,9856216810,888,voice,TWR-024,FIR-0163-2026
C0041,2026-01-30 09:10:00,9856216810,9871504968,625,voice,TWR-038,FIR-0163-2026
C0042,2026-01-17 13:19:00,9820065142,9844837585,796,sms,TWR-012,FIR-0393-2026
C0043,2026-05-24 21:14:00,9844837585,9866934567,547,sms,TWR-004,FIR-0393-2026
C0044,2026-05-14 15:31:00,9869125821,9806427386,563,sms,TWR-023,FIR-0360-2026
C0045,2026-02-28 12:19:00,9801074764,9857823945,830,sms,TWR-014,FIR-0334-2026
C0046,2026-06-16 21:06:00,9892748695,9812839562,124,sms,TWR-022,FIR-0322-2026
C0047,2026-03-29 14:45:00,9817771656,9881548837,430,voice,TWR-039,FIR-0365-2026
C0048,2026-02-12 06:49:00,9881548837,9856890581,553,voice,TWR-015,FIR-0365-2026
C0049,2026-02-15 18:09:00,9872785178,9828078492,456,sms,TWR-035,FIR-0305-2026
C0050,2026-07-09 03:44:00,9828078492,9810276763,628,voice,TWR-022,FIR-0305-2026
C0051,2026-02-26 02:40:00,9810276763,9806192518,187,voice,TWR-008,FIR-0305-2026
C0052,2026-03-16 23:02:00,9806192518,9829571000,49,sms,TWR-003,FIR-0305-2026
C0053,2026-04-07 08:11:00,9872422231,9869624012,295,voice,TWR-011,FIR-0368-2026
C0054,2026-01-24 13:44:00,9800839065,9899226532,799,voice,TWR-008,FIR-0345-2026
C0055,2026-05-29 09:46:00,9899226532,9867658464,655,sms,TWR-007,FIR-0345-2026
C0056,2026-03-22 11:41:00,9867658464,9805020981,284,sms,TWR-033,FIR-0345-2026
C0057,2026-07-14 08:43:00,9850210617,9857952636,557,sms,TWR-016,FIR-0295-2026
C0058,2026-07-11 20:31:00,9857952636,9841506919,268,voice,TWR-013,FIR-0295-2026
C0059,2026-04-12 22:26:00,9841506919,9809353657,27,voice,TWR-029,FIR-0295-2026
C0060,2026-03-21 17:58:00,9841506919,9823594177,583,sms,TWR-028,FIR-0139-2026
C0061,2026-03-14 01:18:00,9841506919,9857952636,463,voice,TWR-023,FIR-0170-2026
C0062,2026-03-24 07:41:00,9844837585,9817771656,790,voice,TWR-028,
C0063,2026-04-14 12:21:00,9810276763,9814177812,264,voice,TWR-017,
C0064,2026-05-30 21:21:00,9810276763,9892748695,774,voice,TWR-014,
C0065,2026-03-27 11:40:00,9850210617,9823911726,585,voice,TWR-027,
C0066,2026-03-30 14:26:00,9855803876,9838017599,730,sms,TWR-025,
C0067,2026-06-29 16:43:00,9857952636,9841506919,550,sms,TWR-002,FIR-0170-2026
C0068,2026-04-23 17:22:00,9841506919,9809353657,472,voice,TWR-028,FIR-0170-2026
C0069,2026-02-23 21:58:00,9809353657,9837839412,350,voice,TWR-039,FIR-0170-2026
C0070,2026-02-26 10:48:00,9832446332,9830337290,825,voice,TWR-038,FIR-0117-2026
C0071,2026-04-28 23:37:00,9830337290,9857952636,531,voice,TWR-031,FIR-0117-2026
C0072,2026-05-18 11:49:00,9823594177,9875180561,450,voice,TWR-019,FIR-0139-2026
C0073,2026-01-21 15:27:00,9875180561,9882494692,598,voice,TWR-022,FIR-0139-2026
C0074,2026-06-25 18:08:00,9823911726,9860219034,861,voice,TWR-035,FIR-0158-2026
C0075,2026-04-07 02:43:00,9860219034,9819342369,696,sms,TWR-017,FIR-0158-2026
C0076,2026-07-12 09:59:00,9805829940,9891940269,660,sms,TWR-039,FIR-0237-2026
C0077,2026-07-22 07:58:00,9891940269,9846847120,691,voice,TWR-040,FIR-0237-2026
C0078,2026-01-28 20:13:00,9846847120,9867408122,576,voice,TWR-014,FIR-0237-2026
C0079,2026-01-18 15:54:00,9867408122,9873578662,238,voice,TWR-029,FIR-0237-2026
C0080,2026-04-10 02:28:00,9830296061,9821425195,880,sms,TWR-011,FIR-0181-2026
C0081,2026-06-07 07:28:00,9821425195,9894837925,611,voice,TWR-010,FIR-0181-2026
C0082,2026-07-26 05:18:00,9836174724,9807767152,821,voice,TWR-018,FIR-0222-2026
C0083,2026-08-08 02:52:00,9807767152,9802540435,640,voice,TWR-007,FIR-0222-2026
C0084,2026-07-14 10:41:00,9802540435,9875652793,707,sms,TWR-019,FIR-0222-2026
C0085,2026-07-03 09:09:00,9875652793,9872258685,307,voice,TWR-021,FIR-0222-2026
C0086,2026-08-05 13:42:00,9849386017,9861493980,98,sms,TWR-012,FIR-0383-2026
C0087,2026-01-13 09:59:00,9861493980,9857455174,228,sms,TWR-035,FIR-0383-2026
C0088,2026-04-02 08:54:00,9857455174,9838017599,89,voice,TWR-003,FIR-0383-2026
C0089,2026-01-14 10:15:00,9838017599,9855458693,638,voice,TWR-009,FIR-0383-2026
C0090,2026-02-03 18:55:00,9893037095,9840190744,773,voice,TWR-029,FIR-0276-2026
C0091,2026-02-13 06:43:00,9856596682,9844888703,732,voice,TWR-028,FIR-0284-2026
C0092,2026-04-08 19:17:00,9844888703,9851195185,829,voice,TWR-015,FIR-0284-2026
C0093,2026-01-13 05:25:00,9851195185,9860353574,113,voice,TWR-039,FIR-0284-2026
C0094,2026-06-29 20:47:00,9852111328,9855803876,213,voice,TWR-006,FIR-0430-2026
C0095,2026-03-14 14:05:00,9855803876,9856217697,538,voice,TWR-011,FIR-0430-2026
C0096,2026-02-24 08:44:00,9856217697,9855631711,391,voice,TWR-030,FIR-0430-2026
C0097,2026-06-14 09:57:00,9855631711,9846134028,684,sms,TWR-031,FIR-0430-2026
C0098,2026-07-31 16:55:00,9890047244,9879591375,404,sms,TWR-037,FIR-0144-2026
C0099,2026-03-30 08:20:00,9879591375,9866012999,611,sms,TWR-040,FIR-0144-2026
C0100,2026-07-06 01:03:00,9876097873,9887061175,581,voice,TWR-001,FIR-0373-2026
C0101,2026-01-10 11:00:00,9883070557,9811118958,673,voice,TWR-031,FIR-0108-2026
C0102,2026-02-25 12:39:00,9864322089,9843913342,771,sms,TWR-006,FIR-0478-2026
C0103,2026-03-09 16:01:00,9843913342,9846956583,386,voice,TWR-003,FIR-0478-2026
C0104,2026-05-14 15:16:00,9857130787,9814177812,44,voice,TWR-016,FIR-0163-2026
C0105,2026-05-19 00:14:00,9814177812,9813263569,773,voice,TWR-005,FIR-0163-2026
C0106,2026-04-06 23:50:00,9813263569,9856216810,376,voice,TWR-026,FIR-0163-2026
C0107,2026-02-09 05:55:00,9856216810,9871504968,803,voice,TWR-031,FIR-0163-2026
C0108,2026-06-05 09:57:00,9820065142,9844837585,813,voice,TWR-028,FIR-0393-2026
C0109,2026-04-10 23:17:00,9844837585,9866934567,499,voice,TWR-022,FIR-0393-2026
C0110,2026-01-18 18:52:00,9869125821,9806427386,361,voice,TWR-025,FIR-0360-2026
C0111,2026-06-11 17:09:00,9801074764,9857823945,570,voice,TWR-014,FIR-0334-2026
C0112,2026-03-30 21:23:00,9892748695,9812839562,57,voice,TWR-007,FIR-0322-2026
C0113,2026-05-21 08:47:00,9817771656,9881548837,178,voice,TWR-022,FIR-0365-2026
C0114,2026-02-12 23:38:00,9881548837,9856890581,487,voice,TWR-002,FIR-0365-2026
C0115,2026-04-04 15:54:00,9872785178,9828078492,825,sms,TWR-012,FIR-0305-2026
C0116,2026-04-12 03:51:00,9828078492,9810276763,786,voice,TWR-013,FIR-0305-2026
C0117,2026-02-03 09:26:00,9810276763,9806192518,685,sms,TWR-017,FIR-0305-2026
C0118,2026-04-07 23:07:00,9806192518,9829571000,612,sms,TWR-012,FIR-0305-2026
C0119,2026-04-25 15:52:00,9872422231,9869624012,835,sms,TWR-006,FIR-0368-2026
C0120,2026-01-23 12:17:00,9800839065,9899226532,172,voice,TWR-018,FIR-0345-2026
C0121,2026-02-03 14:18:00,9899226532,9867658464,501,sms,TWR-032,FIR-0345-2026
C0122,2026-03-19 07:16:00,9867658464,9805020981,821,voice,TWR-027,FIR-0345-2026
C0123,2026-07-11 22:18:00,9850210617,9857952636,871,voice,TWR-021,FIR-0295-2026
C0124,2026-03-14 02:55:00,9857952636,9841506919,397,voice,TWR-034,FIR-0295-2026
C0125,2026-03-29 01:59:00,9841506919,9809353657,198,voice,TWR-037,FIR-0295-2026
C0126,2026-07-03 07:30:00,9841506919,9823594177,40,voice,TWR-006,FIR-0139-2026
C0127,2026-02-04 06:18:00,9841506919,9857952636,19,voice,TWR-015,FIR-0170-2026
C0128,2026-07-09 02:00:00,9844837585,9817771656,412,sms,TWR-014,
C0129,2026-07-15 11:11:00,9810276763,9814177812,727,sms,TWR-006,
C0130,2026-03-28 20:49:00,9810276763,9892748695,372,voice,TWR-026,
C0131,2026-02-18 05:31:00,9850210617,9823911726,121,voice,TWR-010,
C0132,2026-03-23 20:16:00,9855803876,9838017599,69,sms,TWR-032,
C0133,2026-01-11 04:07:00,9857952636,9841506919,335,voice,TWR-024,FIR-0170-2026
C0134,2026-02-05 13:01:00,9841506919,9809353657,91,voice,TWR-017,FIR-0170-2026
C0135,2026-02-15 04:01:00,9809353657,9837839412,302,voice,TWR-026,FIR-0170-2026
C0136,2026-04-30 18:55:00,9832446332,9830337290,417,sms,TWR-012,FIR-0117-2026
C0137,2026-07-24 11:38:00,9830337290,9857952636,589,voice,TWR-004,FIR-0117-2026
C0138,2026-01-25 05:36:00,9823594177,9875180561,214,voice,TWR-003,FIR-0139-2026
C0139,2026-03-29 14:20:00,9875180561,9882494692,510,voice,TWR-028,FIR-0139-2026
C0140,2026-03-30 00:16:00,9823911726,9860219034,849,sms,TWR-025,FIR-0158-2026
C0141,2026-05-31 03:08:00,9860219034,9819342369,247,voice,TWR-032,FIR-0158-2026
C0142,2026-07-25 07:15:00,9805829940,9891940269,340,voice,TWR-006,FIR-0237-2026
C0143,2026-05-23 09:41:00,9891940269,9846847120,146,voice,TWR-007,FIR-0237-2026
C0144,2026-05-14 16:20:00,9846847120,9867408122,710,voice,TWR-015,FIR-0237-2026
C0145,2026-01-27 04:31:00,9867408122,9873578662,218,voice,TWR-038,FIR-0237-2026
C0146,2026-06-16 23:25:00,9830296061,9821425195,244,sms,TWR-039,FIR-0181-2026
C0147,2026-07-18 13:32:00,9821425195,9894837925,576,voice,TWR-037,FIR-0181-2026
C0148,2026-05-11 02:56:00,9836174724,9807767152,421,voice,TWR-025,FIR-0222-2026
C0149,2026-05-09 01:36:00,9807767152,9802540435,877,voice,TWR-020,FIR-0222-2026
C0150,2026-02-23 22:54:00,9802540435,9875652793,588,voice,TWR-007,FIR-0222-2026
C0151,2026-03-25 19:14:00,9875652793,9872258685,820,voice,TWR-035,FIR-0222-2026
C0152,2026-02-19 20:39:00,9849386017,9861493980,137,voice,TWR-029,FIR-0383-2026
C0153,2026-05-24 09:32:00,9861493980,9857455174,408,voice,TWR-018,FIR-0383-2026
C0154,2026-01-20 23:51:00,9857455174,9838017599,342,sms,TWR-033,FIR-0383-2026
C0155,2026-04-30 13:21:00,9838017599,9855458693,540,voice,TWR-038,FIR-0383-2026
C0156,2026-02-04 14:42:00,9893037095,9840190744,725,voice,TWR-029,FIR-0276-2026
C0157,2026-06-02 05:43:00,9856596682,9844888703,182,voice,TWR-026,FIR-0284-2026
C0158,2026-03-04 19:17:00,9844888703,9851195185,470,voice,TWR-019,FIR-0284-2026
C0159,2026-06-10 02:24:00,9851195185,9860353574,633,voice,TWR-021,FIR-0284-2026
C0160,2026-05-01 06:39:00,9852111328,9855803876,656,sms,TWR-003,FIR-0430-2026
C0161,2026-06-23 00:26:00,9855803876,9856217697,893,sms,TWR-019,FIR-0430-2026
C0162,2026-06-26 11:19:00,9856217697,9855631711,455,voice,TWR-003,FIR-0430-2026
C0163,2026-03-24 22:40:00,9855631711,9846134028,525,voice,TWR-012,FIR-0430-2026
C0164,2026-07-10 15:47:00,9890047244,9879591375,783,sms,TWR-032,FIR-0144-2026
C0165,2026-01-21 15:03:00,9879591375,9866012999,409,voice,TWR-037,FIR-0144-2026
C0166,2026-02-04 06:23:00,9876097873,9887061175,286,voice,TWR-012,FIR-0373-2026
C0167,2026-05-02 21:16:00,9883070557,9811118958,692,sms,TWR-012,FIR-0108-2026
C0168,2026-01-22 19:24:00,9864322089,9843913342,390,voice,TWR-029,FIR-0478-2026
C0169,2026-07-07 22:17:00,9843913342,9846956583,512,voice,TWR-003,FIR-0478-2026
C0170,2026-05-25 05:43:00,9857130787,9814177812,812,voice,TWR-010,FIR-0163-2026
C0171,2026-05-02 01:25:00,9814177812,9813263569,537,voice,TWR-001,FIR-0163-2026
C0172,2026-07-27 18:25:00,9813263569,9856216810,317,voice,TWR-003,FIR-0163-2026
C0173,2026-04-16 07:07:00,9856216810,9871504968,87,voice,TWR-026,FIR-0163-2026
C0174,2026-02-22 13:14:00,9820065142,9844837585,356,voice,TWR-014,FIR-0393-2026
C0175,2026-06-30 07:03:00,9844837585,9866934567,45,voice,TWR-037,FIR-0393-2026
C0176,2026-04-03 01:24:00,9869125821,9806427386,409,voice,TWR-023,FIR-0360-2026
C0177,2026-06-21 05:52:00,9801074764,9857823945,65,voice,TWR-032,FIR-0334-2026
C0178,2026-02-21 15:41:00,9892748695,9812839562,497,sms,TWR-028,FIR-0322-2026
C0179,2026-08-08 20:29:00,9817771656,9881548837,147,voice,TWR-003,FIR-0365-2026
C0180,2026-02-04 05:07:00,9881548837,9856890581,566,sms,TWR-029,FIR-0365-2026
C0181,2026-01-25 17:47:00,9872785178,9828078492,497,voice,TWR-033,FIR-0305-2026
C0182,2026-01-18 00:25:00,9828078492,9810276763,82,sms,TWR-011,FIR-0305-2026
C0183,2026-04-12 17:20:00,9810276763,9806192518,621,voice,TWR-026,FIR-0305-2026
C0184,2026-04-26 14:09:00,9806192518,9829571000,454,voice,TWR-022,FIR-0305-2026
C0185,2026-02-05 00:39:00,9872422231,9869624012,445,sms,TWR-028,FIR-0368-2026
C0186,2026-05-05 05:50:00,9800839065,9899226532,202,voice,TWR-018,FIR-0345-2026
C0187,2026-07-30 22:59:00,9899226532,9867658464,563,voice,TWR-026,FIR-0345-2026
C0188,2026-03-15 17:29:00,9867658464,9805020981,858,voice,TWR-011,FIR-0345-2026
C0189,2026-05-15 04:25:00,9850210617,9857952636,740,voice,TWR-028,FIR-0295-2026
C0190,2026-07-05 16:54:00,9857952636,9841506919,255,voice,TWR-034,FIR-0295-2026
C0191,2026-05-21 03:46:00,9841506919,9809353657,660,voice,TWR-002,FIR-0295-2026
C0192,2026-06-09 23:14:00,9841506919,9823594177,63,voice,TWR-009,FIR-0139-2026
C0193,2026-03-16 17:07:00,9841506919,9857952636,181,sms,TWR-026,FIR-0170-2026
C0194,2026-02-09 19:45:00,9844837585,9817771656,121,voice,TWR-028,
C0195,2026-02-23 20:42:00,9810276763,9814177812,132,voice,TWR-001,
C0196,2026-07-07 12:42:00,9810276763,9892748695,96,voice,TWR-012,
C0197,2026-07-06 01:00:00,9850210617,9823911726,875,voice,TWR-039,
C0198,2026-03-28 05:55:00,9855803876,9838017599,782,sms,TWR-036,
C0199,2026-05-21 03:35:00,9857952636,9841506919,744,voice,TWR-031,FIR-0170-2026
C0200,2026-06-09 00:39:00,9841506919,9809353657,537,voice,TWR-008,FIR-0170-2026
C0201,2026-06-23 00:51:00,9841506919,9823594177,444,voice,TWR-017,FIR-0139-2026
