transaction_id,timestamp,sender_account,receiver_account,sender_person_id,receiver_person_id,amount,transaction_type,bank,reference,case_id
TXN0020,2026-01-19 06:18:00,866143934306,247798572911,P041,P061,5000,UPI,BOI,REF699062,FIR-0284-2026
TXN0021,2026-01-22 09:32:00,247798572911,984230812487,P061,P042,150000,IMPS,ICICI,REF464248,FIR-0284-2026
TXN0022,2026-02-08 21:17:00,984230812487,413064207957,P042,P072,300000,RTGS,SBI,REF960010,FIR-0284-2026
TXN0023,2026-07-14 17:55:00,643395353869,371047947936,P006,P025,5000,IMPS,BOI,REF271571,FIR-0430-2026
TXN0024,2026-02-09 07:54:00,371047947936,770874508478,P025,P035,25000,UPI,BOI,REF743109,FIR-0430-2026
TXN0025,2026-05-16 11:37:00,804552973739,287935222511,P059,P024,5000,NEFT,PNB,REF771714,FIR-0144-2026
TXN0026,2026-06-11 19:11:00,287935222511,053333855099,P024,P066,48000,RTGS,BOI,REF327391,FIR-0144-2026
TXN0027,2026-07-13 02:24:00,028050939863,545239182167,P009,P040,150000,UPI,Axis,REF694125,FIR-0373-2026
TXN0028,2026-01-17 05:16:00,805937739664,395523511220,P065,P063,75000,IMPS,PNB,REF104249,FIR-0478-2026
TXN0029,2026-03-20 07:17:00,395523511220,086738535633,P063,P027,49500,NEFT,SBI,REF610433,FIR-0478-2026
TXN0030,2026-05-19 03:32:00,090432042368,883443091432,P005,P080,25000,IMPS,PNB,REF637973,FIR-0163-2026
TXN0031,2026-03-05 03:26:00,883443091432,737886341008,P080,P075,5000,IMPS,Axis,REF161092,FIR-0163-2026
TXN0032,2026-02-08 18:09:00,737886341008,820095500160,P075,P054,49500,IMPS,Axis,REF517552,FIR-0163-2026
TXN0033,2026-01-14 04:15:00,820095500160,292906703982,P054,P064,5000,RTGS,PNB,REF366121,FIR-0163-2026
TXN0034,2026-05-15 06:48:00,836915159637,533006088010,P023,P048,150000,RTGS,HDFC,REF827968,FIR-0393-2026
TXN0035,2026-01-18 01:07:00,127690736201,162994705435,P038,P070,75000,RTGS,HDFC,REF448990,FIR-0334-2026
TXN0036,2026-08-08 17:22:00,424161532160,449171728882,P037,P036,49500,NEFT,ICICI,REF300647,FIR-0322-2026
TXN0037,2026-04-21 11:47:00,038696626916,427933484292,P067,P043,5000,RTGS,HDFC,REF366809,FIR-0365-2026
TXN0038,2026-03-26 13:31:00,427933484292,770725692401,P043,P028,49500,RTGS,PNB,REF449255,FIR-0365-2026
TXN0039,2026-06-03 00:07:00,091866597803,496486264151,P016,P076,5000,NEFT,ICICI,REF549542,FIR-0305-2026
TXN0040,2026-05-13 06:51:00,496486264151,860128651081,P076,P020,150000,NEFT,PNB,REF849749,FIR-0305-2026
TXN0041,2026-07-15 22:46:00,860128651081,249578790540,P020,P057,48000,IMPS,ICICI,REF436272,FIR-0305-2026
TXN0042,2026-01-24 23:28:00,779813327455,127319074627,P022,P045,25000,NEFT,PNB,REF621500,FIR-0368-2026
TXN0043,2026-05-23 22:59:00,455697114719,122555490943,P015,P032,150000,NEFT,ICICI,REF349647,FIR-0345-2026
TXN0044,2026-03-26 19:08:00,122555490943,244577456643,P032,P030,49500,NEFT,BOI,REF896873,FIR-0345-2026
TXN0045,2026-06-08 17:04:00,244577456643,206423949928,P030,P034,12000,IMPS,BOI,REF257304,FIR-0345-2026
TXN0046,2026-04-27 16:01:00,917149266623,563827924712,P014,P052,5000,NEFT,PNB,REF908946,FIR-0295-2026
TXN0047,2026-03-03 22:57:00,563827924712,416983251054,P052,P050,5000,RTGS,HDFC,REF119668,FIR-0295-2026
TXN0048,2026-03-08 09:55:00,416983251054,716982312231,P050,P056,48000,IMPS,ICICI,REF831400,FIR-0295-2026
TXN0049,2026-02-01 20:02:00,935585932472,563827924712,P078,P052,12000,NEFT,Axis,REF732786,FIR-0170-2026
TXN0050,2026-04-08 02:40:00,247798572911,413064207957,P061,P072,49500,UPI,HDFC,REF629681,
TXN0051,2026-05-15 05:34:00,737886341008,819466472152,P075,P026,5000,RTGS,PNB,REF895983,
TXN0052,2026-03-16 00:27:00,907088677296,156335443002,P060,P001,150000,IMPS,HDFC,REF436489,
TXN0053,2026-03-25 20:17:00,659684504779,455697114719,P077,P015,300000,IMPS,SBI,REF272062,
TXN0054,2026-05-27 08:10:00,770725692401,659525545507,P028,P010,75000,NEFT,PNB,REF201199,
TXN0055,2026-01-26 05:46:00,819466472152,449171728882,P026,P036,5000,RTGS,Axis,REF957783,
TXN0056,2026-02-08 11:13:00,860128651081,805937739664,P020,P065,48000,NEFT,PNB,REF148044,
TXN0057,2026-06-16 23:55:00,000836954127,244577456643,P007,P030,300000,IMPS,SBI,REF424973,
TXN0058,2026-04-29 07:06:00,122555490943,449171728882,P032,P036,150000,RTGS,BOI,REF655393,
TXN0059,2026-07-07 17:42:00,455697114719,563827924712,P015,P052,49500,NEFT,HDFC,REF558972,
TXN0060,2026-03-23 16:58:00,659525545507,716982312231,P010,P056,300000,NEFT,SBI,REF370151,
TXN0061,2026-04-07 03:09:00,819466472152,371047947936,P026,P025,25000,NEFT,PNB,REF656639,
TXN0062,2026-02-13 19:14:00,206423949928,287935222511,P034,P024,75000,UPI,Axis,REF457079,
TXN0063,2026-07-30 03:02:00,086738535633,907088677296,P027,P060,75000,IMPS,Axis,REF532311,
TXN0064,2026-01-29 12:08:00,506739373402,371047947936,P002,P025,75000,IMPS,ICICI,REF277472,
TXN0065,2026-06-01 19:56:00,936822674856,206423949928,P033,P034,48000,UPI,HDFC,REF831447,
TXN0066,2026-02-06 13:58:00,936822674856,395523511220,P033,P063,300000,RTGS,HDFC,REF848004,
TXN0067,2026-05-21 15:06:00,287935222511,206423949928,P024,P034,12000,RTGS,HDFC,REF289894,
TXN0068,2026-07-06 07:43:00,028050939863,427933484292,P009,P043,49500,RTGS,HDFC,REF131859,
TXN0069,2026-01-26 08:27:00,086738535633,490692087324,P027,P068,300000,IMPS,BOI,REF405009,
TXN0070,2026-07-07 18:03:00,643395353869,449171728882,P006,P036,25000,NEFT,HDFC,REF904737,
TXN0071,2026-02-04 01:51:00,997275026957,659684504779,P046,P077,49500,RTGS,PNB,REF366343,
TXN0072,2026-06-15 23:41:00,805937739664,490692087324,P065,P068,75000,NEFT,Axis,REF579591,
TXN0073,2026-04-24 18:50:00,860128651081,416983251054,P020,P050,75000,IMPS,BOI,REF546347,
TXN0074,2026-07-11 05:27:00,427933484292,156335443002,P043,P001,49500,UPI,PNB,REF119584,
TXN0075,2026-02-19 11:09:00,108213336805,515598626866,P053,P039,5000,IMPS,SBI,REF203370,
TXN0076,2026-05-11 20:35:00,563827924712,416983251054,P052,P050,48000,UPI,BOI,REF283625,FIR-0170-2026
TXN0077,2026-05-30 05:13:00,416983251054,716982312231,P050,P056,25000,NEFT,BOI,REF757606,FIR-0170-2026
TXN0078,2026-07-25 07:32:00,716982312231,935585932472,P056,P078,75000,RTGS,SBI,REF946982,FIR-0170-2026
TXN0079,2026-02-13 20:42:00,907088677296,639629979370,P060,P021,75000,IMPS,HDFC,REF436555,FIR-0117-2026
TXN0080,2026-03-22 00:18:00,639629979370,563827924712,P021,P052,150000,IMPS,Axis,REF786229,FIR-0117-2026
TXN0081,2026-07-25 09:20:00,659525545507,659684504779,P010,P077,75000,NEFT,SBI,REF919266,FIR-0139-2026
TXN0082,2026-03-14 13:12:00,659684504779,464591521945,P077,P029,300000,IMPS,HDFC,REF844422,FIR-0139-2026
TXN0083,2026-05-03 06:56:00,381623041254,515598626866,P047,P039,49500,IMPS,PNB,REF109378,FIR-0158-2026
TXN0084,2026-02-10 05:11:00,499657459855,156335443002,P031,P001,75000,IMPS,SBI,REF581036,FIR-0237-2026
TXN0085,2026-05-02 15:06:00,156335443002,633413233107,P001,P019,49500,NEFT,SBI,REF930876,FIR-0237-2026
TXN0086,2026-07-02 09:51:00,633413233107,598943501571,P019,P018,75000,UPI,SBI,REF204193,FIR-0237-2026
TXN0087,2026-01-21 16:21:00,311437229124,608510235848,P055,P012,75000,IMPS,SBI,REF194908,FIR-0181-2026
TXN0088,2026-02-01 10:29:00,819466472152,495735448189,P026,P013,75000,IMPS,ICICI,REF160851,FIR-0222-2026
TXN0089,2026-04-27 18:16:00,495735448189,865490895882,P013,P073,75000,UPI,PNB,REF463562,FIR-0222-2026
TXN0090,2026-03-29 17:54:00,865490895882,997275026957,P073,P046,49500,RTGS,ICICI,REF332045,FIR-0222-2026
TXN0091,2026-06-19 22:51:00,303069782041,108213336805,P058,P053,5000,UPI,SBI,REF241031,FIR-0383-2026
TXN0092,2026-04-01 17:49:00,108213336805,506739373402,P053,P002,300000,RTGS,BOI,REF442160,FIR-0383-2026
TXN0093,2026-05-10 14:29:00,506739373402,448445124247,P002,P017,12000,RTGS,Axis,REF435671,FIR-0383-2026
TXN0094,2026-04-12 03:09:00,188158283793,936822674856,P011,P033,48000,NEFT,BOI,REF795109,FIR-0276-2026
TXN0095,2026-04-11 16:46:00,866143934306,247798572911,P041,P061,49500,NEFT,SBI,REF354304,FIR-0284-2026
TXN0096,2026-05-04 17:03:00,247798572911,984230812487,P061,P042,25000,NEFT,SBI,REF370589,FIR-0284-2026
TXN0097,2026-05-01 01:43:00,984230812487,413064207957,P042,P072,25000,IMPS,SBI,REF811236,FIR-0284-2026
TXN0098,2026-06-08 05:44:00,643395353869,371047947936,P006,P025,300000,NEFT,PNB,REF610983,FIR-0430-2026
TXN0099,2026-02-20 10:23:00,371047947936,770874508478,P025,P035,25000,RTGS,Axis,REF897690,FIR-0430-2026
TXN0100,2026-06-06 19:58:00,804552973739,287935222511,P059,P024,49500,UPI,BOI,REF274448,FIR-0144-2026
TXN0101,2026-02-11 14:49:00,287935222511,053333855099,P024,P066,25000,UPI,Axis,REF415992,FIR-0144-2026
TXN0102,2026-05-21 17:54:00,028050939863,545239182167,P009,P040,49500,IMPS,SBI,REF216747,FIR-0373-2026
TXN0103,2026-07-06 15:17:00,805937739664,395523511220,P065,P063,12000,RTGS,PNB,REF302604,FIR-0478-2026
TXN0104,2026-04-18 07:38:00,395523511220,086738535633,P063,P027,48000,RTGS,ICICI,REF746464,FIR-0478-2026
TXN0105,2026-07-05 20:28:00,090432042368,883443091432,P005,P080,5000,UPI,ICICI,REF991393,FIR-0163-2026
TXN0106,2026-04-03 12:30:00,883443091432,737886341008,P080,P075,49500,IMPS,HDFC,REF287559,FIR-0163-2026
TXN0107,2026-08-05 04:50:00,737886341008,820095500160,P075,P054,48000,NEFT,HDFC,REF969269,FIR-0163-2026
TXN0108,2026-01-28 10:10:00,820095500160,292906703982,P054,P064,49500,RTGS,SBI,REF528949,FIR-0163-2026
TXN0109,2026-07-06 19:15:00,836915159637,533006088010,P023,P048,150000,IMPS,HDFC,REF553163,FIR-0393-2026
TXN0110,2026-04-10 19:01:00,127690736201,162994705435,P038,P070,25000,NEFT,PNB,REF341182,FIR-0334-2026
TXN0111,2026-07-01 16:00:00,424161532160,449171728882,P037,P036,48000,IMPS,ICICI,REF677050,FIR-0322-2026
TXN0112,2026-01-16 21:24:00,038696626916,427933484292,P067,P043,25000,IMPS,BOI,REF974757,FIR-0365-2026
TXN0113,2026-03-23 15:49:00,427933484292,770725692401,P043,P028,49500,NEFT,SBI,REF572364,FIR-0365-2026
TXN0114,2026-07-17 01:30:00,091866597803,496486264151,P016,P076,25000,IMPS,ICICI,REF199901,FIR-0305-2026
TXN0115,2026-06-15 15:52:00,496486264151,860128651081,P076,P020,75000,RTGS,HDFC,REF178957,FIR-0305-2026
TXN0116,2026-03-28 07:42:00,860128651081,249578790540,P020,P057,25000,NEFT,PNB,REF979579,FIR-0305-2026
TXN0117,2026-04-12 12:50:00,779813327455,127319074627,P022,P045,12000,UPI,PNB,REF351422,FIR-0368-2026
TXN0118,2026-02-25 23:25:00,455697114719,122555490943,P015,P032,48000,NEFT,BOI,REF488068,FIR-0345-2026
TXN0119,2026-02-16 09:43:00,122555490943,244577456643,P032,P030,5000,NEFT,PNB,REF627530,FIR-0345-2026
TXN0120,2026-06-22 16:28:00,244577456643,206423949928,P030,P034,12000,RTGS,BOI,REF310358,FIR-0345-2026
TXN0121,2026-06-01 11:49:00,917149266623,563827924712,P014,P052,150000,RTGS,ICICI,REF919711,FIR-0295-2026
TXN0122,2026-06-09 15:26:00,563827924712,416983251054,P052,P050,150000,NEFT,PNB,REF630215,FIR-0295-2026
TXN0123,2026-02-13 15:38:00,416983251054,716982312231,P050,P056,49500,RTGS,Axis,REF365522,FIR-0295-2026
TXN0124,2026-02-23 03:55:00,935585932472,563827924712,P078,P052,5000,IMPS,PNB,REF299174,FIR-0170-2026
TXN0125,2026-04-06 09:18:00,247798572911,413064207957,P061,P072,48000,UPI,ICICI,REF829048,
TXN0126,2026-03-19 18:32:00,737886341008,819466472152,P075,P026,12000,NEFT,BOI,REF916375,
TXN0127,2026-03-25 03:34:00,907088677296,156335443002,P060,P001,75000,RTGS,BOI,REF955987,
TXN0128,2026-07-04 17:08:00,659684504779,455697114719,P077,P015,150000,UPI,SBI,REF604952,
TXN0129,2026-01-12 21:59:00,770725692401,659525545507,P028,P010,150000,NEFT,SBI,REF211070,
TXN0130,2026-04-28 07:59:00,819466472152,449171728882,P026,P036,48000,NEFT,Axis,REF599750,
TXN0131,2026-01-27 07:39:00,860128651081,805937739664,P020,P065,25000,NEFT,ICICI,REF956633,
TXN0132,2026-07-28 12:44:00,000836954127,244577456643,P007,P030,12000,NEFT,ICICI,REF390931,
TXN0133,2026-05-16 17:12:00,122555490943,449171728882,P032,P036,48000,NEFT,ICICI,REF400614,
TXN0134,2026-03-27 19:33:00,455697114719,563827924712,P015,P052,49500,IMPS,ICICI,REF189665,
TXN0135,2026-01-24 07:47:00,659525545507,716982312231,P010,P056,48000,IMPS,ICICI,REF939046,
TXN0136,2026-05-19 13:03:00,819466472152,371047947936,P026,P025,48000,RTGS,HDFC,REF877667,
TXN0137,2026-05-17 13:55:00,206423949928,287935222511,P034,P024,300000,IMPS,SBI,REF719629,
TXN0138,2026-02-21 10:07:00,086738535633,907088677296,P027,P060,150000,RTGS,HDFC,REF502489,
TXN0139,2026-02-28 12:09:00,506739373402,371047947936,P002,P025,300000,RTGS,ICICI,REF542992,
TXN0140,2026-02-14 00:36:00,936822674856,206423949928,P033,P034,25000,UPI,SBI,REF618256,
TXN0141,2026-01-18 10:20:00,936822674856,395523511220,P033,P063,12000,NEFT,BOI,REF995160,
TXN0142,2026-04-30 11:54:00,287935222511,206423949928,P024,P034,12000,IMPS,HDFC,REF544057,
TXN0143,2026-02-16 07:46:00,028050939863,427933484292,P009,P043,5000,RTGS,ICICI,REF720028,
TXN0144,2026-02-18 17:50:00,086738535633,490692087324,P027,P068,300000,RTGS,Axis,REF202596,
TXN0145,2026-05-26 08:58:00,643395353869,449171728882,P006,P036,300000,NEFT,HDFC,REF389534,
TXN0146,2026-03-29 00:42:00,997275026957,659684504779,P046,P077,48000,IMPS,HDFC,REF831141,
TXN0147,2026-08-05 17:49:00,805937739664,490692087324,P065,P068,25000,IMPS,HDFC,REF231430,
TXN0148,2026-06-15 10:12:00,860128651081,416983251054,P020,P050,12000,UPI,Axis,REF555627,
TXN0149,2026-06-24 18:42:00,427933484292,156335443002,P043,P001,48000,RTGS,BOI,REF472787,
TXN0150,2026-03-18 02:33:00,108213336805,515598626866,P053,P039,49500,UPI,HDFC,REF228299,
