fir_id,case_id,date,police_station,district,state,sections_of_law,complainant,accused_person_ids,phone_numbers,vehicle_ids,account_ids,description,status
FIR-0373-2026,FIR-0373-2026,2026-02-13,Kurla PS,Mumbai,Maharashtra,BNSS 41A,Rehana Joshi,P009|P040,9876097873|9887061175,V056,028050939863|545239182167,Complaint registered regarding an incident involving 2 accused person(s) in the Kurla West area. Investigation ongoing.,Under Investigation
FIR-0108-2026,FIR-0108-2026,2026-07-01,Shivaji Nagar PS,Pune,Maharashtra,BNS 303 (Theft),Ramesh Gaikwad,P007|P079,9883070557|9811118958,V028|V051,000836954127,Complaint registered regarding an incident involving 2 accused person(s) in the Shivaji Nagar area. Investigation ongoing.,Chargesheet Filed
FIR-0478-2026,FIR-0478-2026,2026-06-11,Govandi PS,Mumbai,Maharashtra,BNS 336 (Forgery),Ashok Bhosale,P065|P063|P027,9864322089|9843913342|9846956583,V009|V011,805937739664|395523511220,Complaint registered regarding an incident involving 3 accused person(s) in the Govandi area. Investigation ongoing.,Under Investigation
FIR-0163-2026,FIR-0163-2026,2026-03-22,Worli PS,Mumbai,Maharashtra,BNS 336 (Forgery),Divya Jadhav,P005|P080|P075|P054|P064,9857130787|9814177812|9813263569,V003|V036,090432042368|883443091432,Complaint registered regarding an incident involving 5 accused person(s) in the Worli area. Investigation ongoing.,Under Investigation
FIR-0393-2026,FIR-0393-2026,2026-05-13,Marol PS,Mumbai,Maharashtra,BNS 336 (Forgery),Kiran Sayyed,P023|P048|P074,9820065142|9844837585|9866934567,V004|V040,836915159637|533006088010,Complaint registered regarding an incident involving 3 accused person(s) in the Marol area. Investigation ongoing.,Under Investigation
FIR-0360-2026,FIR-0360-2026,2026-06-05,Kalyan PS,Thane,Maharashtra,BNS 61 (Criminal Conspiracy),Ganesh Mehta,P068|P003,9869125821|9806427386,V018,490692087324,Complaint registered regarding an incident involving 2 accused person(s) in the Kalyan area. Investigation ongoing.,Closed
FIR-0334-2026,FIR-0334-2026,2026-06-27,Sion PS,Mumbai,Maharashtra,Arms Act 25,Rajesh Shinde,P038|P070,9801074764|9857823945,V031|V044,127690736201|162994705435,Complaint registered regarding an incident involving 2 accused person(s) in the Sion area. Investigation ongoing.,Chargesheet Filed
FIR-0322-2026,FIR-0322-2026,2026-06-10,Wadala PS,Mumbai,Maharashtra,BNS 351 (Criminal Intimidation),Santosh Chavan,P037|P036,9892748695|9812839562,V045|V059,424161532160|449171728882,Complaint registered regarding an incident involving 2 accused person(s) in the Wadala area. Investigation ongoing.,Chargesheet Filed
FIR-0365-2026,FIR-0365-2026,2026-04-01,Pune Camp PS,Pune,Maharashtra,BNSS 41A,Sneha Rane,P067|P043|P028,9817771656|9881548837|9856890581,,038696626916|427933484292,Complaint registered regarding an incident involving 3 accused person(s) in the Pune Camp area. Investigation ongoing.,Under Investigation
FIR-0305-2026,FIR-0305-2026,2026-05-30,Kurla PS,Mumbai,Maharashtra,BNS 61 (Criminal Conspiracy),Sunita Mehta,P016|P051|P076|P020|P057,9872785178|9828078492|9810276763,V023|V043,091866597803|496486264151,Complaint registered regarding an incident involving 5 accused person(s) in the Kurla West area. Investigation ongoing.,Under Investigation
FIR-0368-2026,FIR-0368-2026,2026-06-21,Mankhurd PS,Mumbai,Maharashtra,BNS 303 (Theft),Rakesh Ansari,P022|P045,9872422231|9869624012,V001|V002,779813327455|127319074627,Complaint registered regarding an incident involving 2 accused person(s) in the Mankhurd area. Investigation ongoing.,Under Investigation
FIR-0345-2026,FIR-0345-2026,2026-02-12,Wadala PS,Mumbai,Maharashtra,BNS 318 (Cheating),Salim Bhosale,P015|P032|P030|P034,9800839065|9899226532|9867658464,V021|V034,455697114719|122555490943,Complaint registered regarding an incident involving 4 accused person(s) in the Wadala area. Investigation ongoing.,Under Investigation
FIR-0295-2026,FIR-0295-2026,2026-02-06,Marol PS,Mumbai,Maharashtra,PMLA 3/4,Rajesh Naik,P014|P052|P050|P056,9850210617|9857952636|9841506919,V022|V035,917149266623|563827924712,Complaint registered regarding an incident involving 4 accused person(s) in the Marol area. Investigation ongoing.,Closed
