subscriber_id,phone_number,person_id,subscriber_name,operator,activation_date,address,case_ids
T074,9866934567,P074,Kavita Pawar,BSNL,2025-06-20,"Vashi, Mumbai",FIR-0393-2026
T075,9813263569,P075,Anjali Momin,Jio,2025-03-02,"Sion, Mumbai",FIR-0163-2026
T076,9810276763,P076,Ashok Kadam,Jio,2025-07-25,"Wadala, Mumbai",FIR-0305-2026
T077,9875180561,P077,Rakesh Chavan,BSNL,2025-03-12,"Thane West, Mumbai",FIR-0139-2026
T078,9837839412,P078,Ganesh Chauhan,BSNL,2025-08-22,"Vashi, Mumbai",FIR-0170-2026
T079,9811118958,P079,Sanjay Jadhav,Airtel,2025-12-27,"Andheri East, Mumbai",FIR-0108-2026
T080,9814177812,P080,Imran Naik,Airtel,2025-09-03,"Bandra East, Mumbai",FIR-0163-2026
T081,9875497875,,NOT REGISTERED,BSNL,2026-02-11,,
T082,9848662727,,NOT REGISTERED,Airtel,2026-01-17,,
T083,9891926289,,NOT REGISTERED,Vi,2026-01-19,,
T084,9849536486,,NOT REGISTERED,Jio,2026-06-18,,
T085,9846679990,,NOT REGISTERED,Airtel,2026-05-11,,
T086,9847269221,,NOT REGISTERED,BSNL,2026-03-04,,
T087,9851332732,,NOT REGISTERED,Airtel,2026-07-17,,
T088,9853687692,,NOT REGISTERED,Vi,2026-03-20,,
T089,9817700831,,NOT REGISTERED,Vi,2026-06-11,,
T090,9867097192,,NOT REGISTERED,BSNL,2026-02-08,,
T091,9819858844,,NOT REGISTERED,BSNL,2026-03-26,,
T092,9800559023,,NOT REGISTERED,Airtel,2026-06-12,,
T093,9876342751,,NOT REGISTERED,Jio,2026-07-25,,
T094,9859531260,,NOT REGISTERED,Airtel,2026-02-05,,
T095,9801191543,,NOT REGISTERED,Vi,2026-01-22,,
T096,9888283395,,NOT REGISTERED,BSNL,2026-01-26,,
T097,9832579146,,NOT REGISTERED,BSNL,2026-05-15,,
T098,9853355244,,NOT REGISTERED,Airtel,2026-05-24,,
T099,9871476150,,NOT REGISTERED,Airtel,2026-06-13,,
T100,9849277669,,NOT REGISTERED,BSNL,2026-01-30,,
