person_id,name,aliases,age_range,occupation,phone_numbers,addresses,primary_account,case_ids
P043,Salim Naik,S. Naik,18-25,Real estate agent,9881548837,"Andheri East, Mumbai",427933484292,FIR-0365-2026
P044,Anjali Deshmukh,A. Deshmukh,56-65,Real estate agent,9875652793,"Kurla West, Mumbai",,FIR-0222-2026
P045,Sneha Mehta,S. Mehta,46-55,Courier,9869624012,"Chembur, Mumbai",127319074627,FIR-0368-2026
P046,Javed Bhatt,J. Bhatt,36-45,Broker,9872258685,"Mankhurd, Mumbai",997275026957,FIR-0222-2026
P047,Kiran Mehta,K. Mehta,46-55,Auto mechanic,9823911726,"Shivaji Nagar, Mumbai",381623041254,FIR-0158-2026
P048,Imran More,I. More,26-35,Contractor,9844837585,"Bandra East, Mumbai",533006088010,FIR-0393-2026
P049,Kiran Momin,K. Momin,36-45,Unemployed,9830296061,"Worli, Mumbai",,FIR-0181-2026
P050,Mahesh Momin,M. Momin,18-25,Fisherman,9841506919,"Wadala, Mumbai",416983251054,FIR-0170-2026|FIR-0295-2026
P051,Ravi Rao,R. Rao,56-65,Driver,9828078492,"Shivaji Nagar, Mumbai",,FIR-0305-2026
P052,Ashok Sheikh,A. Sheikh,46-55,Fisherman,9857952636,"Andheri East, Mumbai",563827924712,FIR-0117-2026|FIR-0170-2026|FIR-0295-2026
P053,Meena Joshi,M. Joshi,26-35,Mobile repair technician,9857455174,"Bandra East, Mumbai",108213336805,FIR-0383-2026
P054,Yogesh Jadhav,Y. Jadhav,18-25,Mobile repair technician,9856216810,"Mankhurd, Mumbai",820095500160,FIR-0163-2026
P055,Neha Kadam,N. Kadam,26-35,Mobile repair technician,9821425195,"Bandra East, Mumbai",311437229124,FIR-0181-2026
P056,Arun Rane,A. Rane,46-55,Driver,9809353657,"Andheri East, Mumbai",716982312231,FIR-0170-2026|FIR-0295-2026
P057,Ganesh Pawar,G. Pawar,36-45,Shopkeeper,9829571000,"Shivaji Nagar, Mumbai",249578790540,FIR-0305-2026
P058,Rajesh Patil,R. Patil,46-55,Real estate agent,9849386017,"Byculla, Mumbai",303069782041,FIR-0383-2026
P059,Anil Sayyed,A. Sayyed,36-45,Unemployed,9890047244,"Sion, Mumbai",804552973739,FIR-0144-2026
P060,Sunil Rao,S. Rao,46-55,Courier,9832446332,"Pune Camp, Pune",907088677296,FIR-0117-2026
P061,Naresh Kulkarni,N. Kulkarni,36-45,Mobile repair technician,9844888703,"Vashi, Mumbai",247798572911,FIR-0284-2026
P062,Prakash Shaikh,P. Shaikh,56-65,Electrician,9861493980,"Kalyan, Mumbai",,FIR-0383-2026
P063,Rehana Momin,R. Momin,18-25,Unemployed,9843913342,"Nagpada, Mumbai",395523511220,FIR-0478-2026
P064,Vinod Bhosale,V. Bhosale,46-55,Unemployed,9871504968,"Byculla, Mumbai",292906703982,FIR-0163-2026
P065,Zoya Pawar,Z. Pawar,18-25,Mobile repair technician,9864322089,"Chembur, Mumbai",805937739664,FIR-0478-2026
P066,Sanjay Kadam,S. Kadam,56-65,Shopkeeper,9866012999,"Mankhurd, Mumbai",053333855099,FIR-0144-2026
P067,Ajay Kadam,A. Kadam,36-45,Trader,9817771656,"Andheri East, Mumbai",038696626916,FIR-0365-2026
P068,Suresh Verma,S. Verma,56-65,Courier,9869125821,"Byculla, Mumbai",490692087324,FIR-0360-2026
P069,Salim Verma,S. Verma,46-55,Driver,9855803876,"Kalyan, Mumbai",,FIR-0430-2026
P070,Rohit Rane,R. Rane,56-65,Driver,9857823945,"Andheri East, Mumbai",162994705435,FIR-0334-2026
P071,Vinod Waghmare,V. Waghmare,18-25,Scrap dealer,9846134028,"Govandi, Mumbai",,FIR-0430-2026
P072,Suresh Kulkarni,S. Kulkarni,36-45,Trader,9860353574,"Pune Camp, Pune",413064207957,FIR-0284-2026
P073,Yogesh Bhatt,Y. Bhatt,26-35,Electrician,9802540435,"Vashi, Mumbai",865490895882,FIR-0222-2026
P074,Kavita Pawar,K. Pawar,56-65,Real estate agent,9866934567,"Vashi, Mumbai",,FIR-0393-2026
P075,Anjali Momin,A. Momin,18-25,Electrician,9813263569,"Sion, Mumbai",737886341008,FIR-0163-2026
P076,Ashok Kadam,A. Kadam,26-35,Mobile repair technician,9810276763,"Wadala, Mumbai",496486264151,FIR-0305-2026
P077,Rakesh Chavan,R. Chavan,26-35,Scrap dealer,9875180561,"Thane West, Mumbai",659684504779,FIR-0139-2026
P078,Ganesh Chauhan,G. Chauhan,36-45,Fisherman,9837839412,"Vashi, Mumbai",935585932472,FIR-0170-2026
P079,Sanjay Jadhav,S. Jadhav,26-35,Contractor,9811118958,"Andheri East, Mumbai",,FIR-0108-2026
P080,Imran Naik,I. Naik,36-45,Auto mechanic,9814177812,"Bandra East, Mumbai",883443091432,FIR-0163-2026
